dataset,season,row_count,generated_at_utc
team_stats,2013,207164,2026-08-24 01:44:49 UTC
team_stats,2014,1112491,2026-08-24 01:43:47 UTC
team_stats,2015,1075266,2026-08-24 01:42:44 UTC
team_stats,2016,1085700,2026-08-24 01:41:42 UTC
team_stats,2017,1177182,2026-08-24 01:40:40 UTC
team_stats,2018,1078560,2026-08-24 01:39:37 UTC
team_stats,2019,1134420,2026-08-24 01:38:36 UTC
team_stats,2020,108369,2026-08-24 01:37:36 UTC
team_stats,2021,182041,2026-08-24 01:36:45 UTC
team_stats,2022,193513,2026-08-24 01:35:45 UTC
team_stats,2023,190323,2026-08-24 01:34:41 UTC
team_stats,2024,202344,2026-08-24 09:42:09 UTC
team_stats,2025,247225,2026-08-24 09:38:48 UTC
